,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
3265,tt3872008,Old Boys: The Way of the Dragon, Lao nan hai zhi Meng long guo jiang,2014, Comedy,5.2,183
3266,tt3890264,Breakup Buddies, Xin hua lu fang,2014, Comedy&Drama&Romance,6.4,1442
3267,tt3890278,Red Amnesia, Chuang ru zhe,2014, Crime&Drama&Thriller,6.8,567
3268,tt3896016,The Continent, Hou hui wu qi,2014, Comedy&Drama,6.3,1547
3269,tt3897080,Agent F.O.X., Tu zi zhon de huo hu li,2014, Adventure&Animation&Comedy,3.1,201
3271,tt3902570,The Dossier, Dang An,2014, Documentary&History,5.3,6
3272,tt3906444,But Always, Yi sheng yi shi,2014, Drama&Romance,5.2,412
3274,tt3911248,The Deadly Strands, Zhou si,2013, Drama&Horror&Thriller,4.6,7
3277,tt3919278,The Four 3, Si da ming bu 3,2014, Action,5.6,835
3278,tt3920828,Camel Caravan, Luo tuo ke,2012, Action&Adventure,6.3,11
3279,tt3924826,My Belle Beauty, My Belle Beauty,2010, Comedy&Drama,3.9,23
3280,tt3950078,The Taking of Tiger Mountain, Zhi qu wei hu shan,2014, Action&Adventure&Biography,6.4,2789
3281,tt3956312,My Old Classmate, Tong zhuo de ni,2014, Comedy&Romance,5.6,411
3285,tt3973682,Bai Xue Gong Zhu Zhi Ai Ren Li Liang, Bai Xue Gong Zhu Zhi Ai Ren Li Liang,2014, Animation,4.2,5
3286,tt3976070,The Unbearable Lightness of Inspector Fan, Bao zou shen tan,2015, Crime,5.1,43
3287,tt3989298,Factory Boss, Da gong lao ban,2014, Drama,7.3,23
3291,tt4019426,Brotherhood of Blades, Xiu chun dao,2014, Action,6.6,2864
3293,tt4024368,Meet Miss Anxiety, Wo de zao geng nv you,2014, Comedy&Romance,4.5,168
3295,tt4027270,The Crossing 2, The Crossing 2,2015, Drama&History&Romance,6.0,1036
3296,tt4038736,Old Cinderella, Tuo Gui Shi Dai,2014, Comedy&Romance,5.4,29
3297,tt4041844,Caught in Trap, Caught in Trap,2014, Action,4.5,6
3298,tt4051858,One Day, You yi tian,2014, Family,6.2,19
3299,tt4053842,The September of Mine, Wo de jiu yue,1990, Comedy&Drama,7.5,25
3300,tt4054604,Her Smile Through Candlelight, Zhu guang li de wei xiao,1991, Drama,5.3,7
3301,tt4054762,The Young Couple Apartment, Yuan yang lou,1987, Drama,7.6,8
3302,tt4056808,The Chinese Mayor, Datong,2015, Documentary&Drama&News,7.7,579
