,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
314,tt0098147,A Terra-Cotta Warrior, Qin yong,1989, Adventure&Comedy&Fantasy,6.8,902
315,tt0098476,Live Hard, Tie dan xiong feng,1989, Action,6.2,20
316,tt0098646,Whos the Ghost in Sleepy Hollow, Feng piao piao gui piao piao,1977, Comedy&Horror&Romance,5.8,6
317,tt0098692,Wicked City, Yôjû toshi,1987, Action&Animation&Fantasy,6.8,6686
318,tt0098694,All About Ah-Long, Ah Long dik goo si,1989, Drama,7.3,1291
319,tt0098703,The Last Duel, Joi hei fung wan,1989, Action,4.9,18
320,tt0098710,Seven Warriors, Zhong yi qun ying,1989, Action&Crime&Drama,6.1,157
321,tt0098717,The Last Aristocrats, Zui hou de gui zu,1989, Drama&History,7.7,50
322,tt0099001,The Story of My Son, Ngoi di sai gaai,1990, Drama,6.4,57
323,tt0099002,Stars and Roses, Ai ren tong zhi,1989, Drama&War,6.1,66
324,tt0099079,Eight Taels of Gold, Bat leung gam,1989, Drama&Romance,6.9,177
325,tt0099116,Beijing Watermelon, Pekin no suika,1989, Drama,6.0,82
326,tt0099248,The Big Heat, Seng fat dak ging,1988, Action&Crime&Thriller,6.9,612
327,tt0099338,Da Jue Zhan I: Liao Shen Zhan Yi, Da Jue Zhan I: Liao Shen Zhan Yi,1990, Drama&History&War,6.5,135
328,tt0099339,Da Jue Zhan II: Huai Hai Zhan Yi, Da Jue Zhan II: Huai Hai Zhan Yi,1991, Drama&History&War,6.4,116
329,tt0099340,Da Jue Zhan III: Ping Jin Zhan Yi, Da Jue Zhan III: Ping Jin Zhan Yi,1992, Drama&History&War,6.6,98
330,tt0099416,The Dragon Fighter, Dei tau lung,1990, Action&Drama,4.8,46
331,tt0099426,Bullet in the Head, Dip huet gai tau,1990, Action&Crime&Drama,7.6,9978
332,tt0099685,Goodfellas, Goodfellas,1990, Biography&Crime&Drama,8.7,1038059
333,tt0099902,Ju Dou, Ju Dou,1990, Drama&Romance,7.6,7709
334,tt0099984,The Last Match, Lultima meta,1991, Action,4.6,81
335,tt0100344,Against All, Peng dang,1990, Crime&Drama,5.7,43
336,tt0100410,Prince of the Sun, Tai yang zhi zi,1990, Action&Adventure&Comedy,5.4,262
337,tt0100777,A Moment of Romance, Tin joek yau ching,1990, Action&Crime&Romance,7.4,1008
